key,en,zh
ui_lbl_daily_bonus_message_3,Please register to get more unique Rewards!,请注册获得更多独特奖励！
ui_lbl_daily_bonus_message_4,Thanks for playing! Enjoy your new Rewards!,感谢玩游戏！这是你的奖励！
ui_lbl_died,YOU DIED,本盘游戏结束
ui_lbl_error,OUCH!,糟糕！
ui_lbl_furnace,FURNANCE,熔炉
ui_lbl_furnace_desc,Place ingredient and fuel to corresponding slots to begin the melting.,将材料和燃料放入相应的槽中开始熔化。
ui_lbl_inventory,INVENTORY,物品栏
ui_lbl_item_armor,ARMOR AND CLOTHES,盔甲和衣物
ui_lbl_item_blocks,BLOCKS,砖块
ui_lbl_item_consumables,CONSUMABLES,消耗品
ui_lbl_item_decor,DECORATION,装饰
ui_lbl_item_machinery,MACHINERY,机器
ui_lbl_item_shop,SHOP,商店
ui_lbl_item_techno_workbench,TECHNO WORKBENCH,技术工作台
ui_lbl_item_tools,TOOLS,工具
ui_lbl_item_weapon,WEAPON,武器
ui_lbl_language,LANGUAGE,语言
ui_lbl_level_up,LEVEL UP,升级
ui_lbl_pause,PAUSE,暂停
ui_lbl_player_ammo_slots,AMMO,弹药
ui_lbl_player_armor_slots,ARMOR,盔甲
ui_lbl_player_clothes_slots,CLOTHES,衣物
ui_lbl_player_fuel_slot,FUEL,燃料
ui_lbl_player_ingredient_slot,INGREDIENT,材料
ui_lbl_player_level,{0},{0}
ui_lbl_player_level_text,LEVEL,级别
ui_lbl_quest_complete,QUEST COMPLETED,任务已完成
ui_lbl_repair_desc,Here you can repair your equipment.,在这里你可以修复装备。
ui_lbl_reward_message,"Your reward for quest:
'{0}'","你获得的任务奖励：
'{0}"
ui_lbl_reward_message_rigistration,"Thanks for Registration and using ID.Net 
Your reward:","感谢注册和使用ID.Net
你的奖励："
ui_lbl_robot_panel,ROBOT PANEL,机器人面板
ui_lbl_saving,"Saving, please wait",正在保存，请稍等
ui_lbl_shop_exchange,3D PRINTER 3000,3D打印机（3000型）
ui_lbl_trap_duration,Duration (sec),时长（秒）
ui_lbl_trap_offset,Offset (sec),重置（秒）
ui_lbl_trap_time,Time (sec),时间（秒）
ui_lbl_treasure_chest,TREASURE,宝箱
ui_lbl_tutorial_item_count,{0} of {1},{0}（总计{1} ）
ui_lbl_uncompleted,Uncompleted,未完成
ui_lbl_warehouse,WAREHOUSE,仓库
ui_lbl_warehouse_desc,ALL YOUR REWARDS ARE STORED HERE.,所有奖励都保存在这里。
ui_sbook_big_spider_desc,King Mosquiton rules all insects in this world. He lives in the forgotten ruins and wants suck your blood.,莫斯奎登国王统治这个世界的所有昆虫。他住在被遗忘的废墟中，想吸干你的血。
ui_sbook_desc_closed,[closed],[已关闭]
ui_sbook_gargoyle_desc,It resides in abandoned bunker deep underground. Create battery and turn it on.,它居住在地下很深的被遗弃的防空洞中。制作电池来启动它。
ui_sbook_required_level,Level {0} required,需要等级{0}
ui_sbook_respawning,Respawn in {0} min.,{0}分钟后再生
ui_sbook_stone_golem_desc,"You can find Imperator Finalium on one of the last flying islands. Thousands of years ago great kings lived on these islands , and now there are only the deserted ruins.",在仅存空中岛屿之一上，你可以找到费纳利姆大将军。数千年前，伟大的国王住在这些岛上，如今却成了被遗弃的荒岛。
ui_sbook_zombie_desc,Tyrant. Mighty warrior who lives only for supreme power. All zombies fear and serve him.,暴君提蓝特。强大武士，一意当霸主。所有僵尸都服从和畏惧他。
ui_tooltip_achievements,Achievements,成就
ui_tooltip_already_saving,"Please wait a while
before next saving","请稍后再
进行下一次保存"
ui_tooltip_authors,Credits,鸣谢
ui_tooltip_cloud,Transfer your data to Cloud and get Rewards,将您的数据上传到云端并获得奖励。
ui_tooltip_cloud_switch_tips,"Press 'switch to online' button
to transfer your data to the Cloud","点击‘转到线上’按钮
将你的数据上传到云端"
ui_tooltip_cloud_tips,"Press 'login' button to transfer your data
to the Cloud and get Rewards","点击‘登录’按钮
将你的数据上传到云端并获得奖励。"
ui_tooltip_community,Having problem? Discuss here!,遇到了问题？在这里讨论！
ui_tooltip_create_new_planet,Create a new planet,创建一个新星球
ui_tooltip_female,Female,女性
ui_tooltip_fullscreen,Full screen mode,全屏模式
ui_tooltip_highscore,High Scores,高分榜
ui_tooltip_inventory,Inventory [{0}],物品栏
ui_tooltip_language,"Language

English","Language

中文"
ui_tooltip_male,Male,男性
ui_tooltip_memories_book,"PART 1

A LONG TIME AGO GOBLINS WERE THE OWNERS OF THIS
PLANET. THEY CALLED IT VELIUM.

GOBLINS LIVED ON THE FLYING ISLANDS IN THE HUGE
CASTLES.

THEIR TECHNOLOGIES WERE GREAT. THERE WERE A LOT OF
UNIVERSITIES AND UNDERGROUND LABS.

BUT 300 YEARS AGO EVIL IMPERATOR FINALIUM INVATED THIS
PLANET WITH HIS STRONGEST GENERALS AND HUGE ARMY.

GOBLINS WERE DEFEATED.

THEIR LAST HOPE IS THE SPACE LIGHTHOUSE THAT SENDS
THE SIGNALS FOR HELP.

BUT THE HERO MUST HARRY BECAUSE IMPERATOR FINALIUM
CALLED...","第一篇：

很久很久以前，这个星球的主人是哥布林妖怪。他们将之称为伟里姆。

哥布林居住在巨大的城堡空中的岛屿上。

他们的科技很发达。兴办学院和位于地下的实验室。

不过，300年前，费纳利姆大将军率领强将及其千军万马入侵了这个星球。

哥布林战败而逃。

他们最后的希望是可以发送求救信号的宇宙灯塔。

但是，我们要赶紧行动，因为费纳利姆大将军已召集……"
ui_tooltip_memories_book2,"PART 2

...THE SHADOW. AND IT IS ON THE PLANET ALREADY.
 IT HIDES AND WAITS.
 IT IS WAITING FOR THE HERO.


THE SHADOW DOES NOT HAVE A MATERIAL SHELL.
IT WILL ENTER INTO THE MOST DANGEROUS
 AND EVIL CREATURES ON THE PLANET
 AND MAKE THEIR POWER INCREDIBLE.


YOU MUST DEFEAT IT, IF YOU WANT TO SAVE THIS PLANET.
BUT HOW MANY PLANETS NEED YOUR HELP?


RECENTLY, SPACE LIGHTHOUSE RECEIVED
 A SIGNAL FROM ANOTHER PLANET.
THE PLANET...","第二部分

...影子。这早已存在在这个星球上了。
他们藏着、等着。
等着英雄到来。影子没有壳体。
他会进入最危险的地方
星球上最邪恶的生物
让他们获得无与伦比的力量。


你必须打败他。如果你想拯救这个星球的话。
但是有多少星球在等着你去拯救呢？


最近，太空灯塔接收到了
另一个星球的信息。
那个星球..."
ui_tooltip_notification1_tips,"This planet is so dangerous and this is
your first night here. Save your progress
online in idnet cloud forever and you can
play from any computer then","这个星球危机四伏，这是你在星球上头一个晚上。
在idnet云端永久保存游戏进度，
然后可在任意电脑上进行游戏"
ui_tooltip_notification2_tips,"Wow!
You are level 2 now. Register to share
screenshots of your mighty character!
Show it to everybody.","好极了！你已经升到2级。
注册来分享你的勇猛角色吧！
让所有人都瞧瞧。"
ui_tooltip_notification3_tips,"3rd level! You are a true hero of this
planet now. You went to it for a long time.
Register and save all your great
progress online forever!.","达到第3级！你如今是这个星球上真正英雄。
你已在此呆了很长时间。
注册并将你所有上佳进度永久在线保存！"
ui_tooltip_revive_tips,"Press 'login' to auto revive
and get Rewards",点击‘登录’自动复活并获得奖励
ui_tooltip_save,Save [auto-saving every 10 mins],保存（每10分钟自动保存）
ui_tooltip_save_and_lobby,Save and quit to main menu,保存并退回主菜单
ui_tooltip_saving_cooldown,"Please wait a few seconds
before next saving",请稍后再进行下一次保存
ui_tooltip_scale,Change the scale,更改比例
ui_tooltip_screenshot,Make a screenshot [{0}],拍一幅截图[{0}]
ui_tooltip_show_helmet,Show helmet,显示头盔
ui_tooltip_sound,Sound,声音
wall_brick,Brick Wall,砖墙
wall_bronze,Bronze Wall,铜墙
wall_designer_black,Black Wall,黑墙
wall_designer_blue,Blue Wall,蓝墙
wall_designer_cage,Cage Wall,笼壁
wall_designer_green,Green Wall,绿化墙
wall_designer_red,Red Wall,红墙
wall_designer_white,White Wall,白墙
wall_designer_yellow,Yellow Wall,黄墙
wall_dirt,Dirt Wall,土墙
wall_fence,Fence,篱笆
wall_glass,Glass Wall,玻璃墙
wall_glass_blue,Red Glass Wall,红玻璃墙
wall_glass_red,Green Glass Wall,绿玻璃墙
wall_gold,Gold Wall,金墙
wall_metal,Metal Wall,金属墙
wall_moss_metal_brick,Moss Metal Wall,苔金属墙
wall_moss_stone_brick,Moss Stone Brick Wall,苔石砖墙
wall_mystic_stone_brick,Mystic Wall,神秘之墙
wall_obsidian,Obsidian Wall,黑曜石墙
wall_planked,Plank Wall,木条墙
wall_stone,Stone Wall,石墙
wall_stone_brick,Stone Brick Wall,石砖墙
wall_techno,Solidium Wall,超锢墙
wall_white_brick,White Brick Wall,白砖墙
wall_wood,Wooden Wall,木墙
wall_wood_planks,Sheathing Plank Wall,木条护板墙
warehouse_has_new_item,You have new item in the warehouse ->,仓库中有新物品
welcome,Welcome,欢迎
you_hero,You,你
